coin_id,ts_utc,price,market_cap,total_volume
bitcoin,2025-07-23 02:00:29,119583.73597101556,2380008369256.9116,56190519436.1195
bitcoin,2025-07-23 03:03:07,119127.28034544508,2370639429652.1587,56338884809.87471
bitcoin,2025-07-23 04:04:05,118687.14241553268,2361297635534.8726,51981306005.678406
bitcoin,2025-07-23 05:08:34,118900.1656138629,2366270058317.697,54326085034.84547
bitcoin,2025-07-23 06:08:36,118701.95317626116,2361789343519.0366,53633117135.82551
bitcoin,2025-07-23 07:03:56,118473.90255623346,2357651078781.771,53169219653.08305
bitcoin,2025-07-23 08:08:25,118379.73883290826,2355964250483.358,50825818514.57812
bitcoin,2025-07-23 09:09:06,118433.78513026409,2356398054761.5034,46035920767.82302
bitcoin,2025-07-23 10:08:39,118078.32575499937,2349800515959.9355,49183707130.554855
bitcoin,2025-07-23 11:02:14,118373.06712224887,2354670667761.2515,48830246645.068825
bitcoin,2025-07-23 12:04:35,118586.26472420427,2359283814776.061,47454279900.61564
bitcoin,2025-07-23 13:06:06,118102.75685806658,2349506210088.659,46837557710.20535
bitcoin,2025-07-23 14:01:34,117604.01001209718,2338962427430.445,47018254011.26223
bitcoin,2025-07-23 15:09:25,118166.34352460799,2351509822373.78,46049392822.30413
bitcoin,2025-07-23 16:00:03,118371.49200750593,2355161392414.388,45929742796.64325
bitcoin,2025-07-23 17:09:23,117845.38888074942,2344552752948.6777,46464811567.43005
bitcoin,2025-07-23 18:09:13,118120.789797975,2349228130735.474,45683770751.06338
bitcoin,2025-07-23 19:09:14,118401.52002558019,2355536650078.3965,45123648200.588745
bitcoin,2025-07-23 20:08:03,118451.55339004018,2356363053088.9814,44480846583.91266
bitcoin,2025-07-23 21:04:35,117982.46569801336,2346987032770.163,41743041127.080864
bitcoin,2025-07-23 22:02:10,118132.7507203996,2350090485059.9575,44688526741.31649
bitcoin,2025-07-23 23:09:08,118632.49453402618,2360255006847.191,45164914580.98258
bitcoin,2025-07-24 00:01:21,118629.05588130427,2359931875300.5244,45225685167.61703
bitcoin,2025-07-24 01:09:35,119099.95992326792,2369816874957.554,45710273735.15434
bitcoin,2025-07-24 02:05:01,119093.24843494687,2369536012741.2954,45604647783.618866
bitcoin,2025-07-24 03:09:30,119044.5049606742,2368227510974.896,45086930955.356766
bitcoin,2025-07-24 04:08:57,118571.64691305421,2361502735174.2305,46615233842.37876
bitcoin,2025-07-24 05:08:58,118040.31482311334,2348642916508.57,47691035141.77113
bitcoin,2025-07-24 06:06:18,117731.59658011796,2340774275988.27,45756227724.05701
bitcoin,2025-07-24 07:09:24,117421.54712428327,2338462161485.9644,51219835080.74328
bitcoin,2025-07-24 08:09:04,118297.59077540097,2353690747061.2437,51331116909.16332
bitcoin,2025-07-24 09:09:19,118813.7430411176,2363993990147.8633,53841922668.708565
bitcoin,2025-07-24 10:09:29,118626.88604747498,2360341545829.588,53912592998.163765
bitcoin,2025-07-24 11:00:32,118306.15441974839,2352413707358.8047,50243447952.37235
bitcoin,2025-07-24 12:03:55,118706.26528613694,2361872522100.7285,54519766006.79465
bitcoin,2025-07-24 13:04:09,118485.74874655154,2356689817030.125,54609127261.03149
bitcoin,2025-07-24 14:04:24,118430.68295554034,2357662009952.662,53030306672.77395
bitcoin,2025-07-24 15:04:53,118859.57755909972,2364415414012.797,52863755023.546715
bitcoin,2025-07-24 16:04:20,119161.39740423892,2369587977339.055,55014861396.331
bitcoin,2025-07-24 17:07:56,118633.228027836,2359674232615.504,55155971727.93828
bitcoin,2025-07-24 18:04:25,119212.30770583588,2372129378964.44,54035105191.0939
bitcoin,2025-07-24 19:09:19,119129.47720663079,2370600390250.7856,53844670651.393684
bitcoin,2025-07-24 20:09:33,119020.7935780909,2368778519348.626,54053584937.84139
bitcoin,2025-07-24 21:08:55,118788.01531590869,2363516878494.671,52931730425.74475
bitcoin,2025-07-24 22:09:32,118633.71224119011,2360372096689.8457,52291040257.34798
bitcoin,2025-07-24 23:09:09,118328.21441084414,2355432551372.6606,51790816727.15537
bitcoin,2025-07-25 00:09:04,118374.12669269227,2354990819866.089,51737818238.89438
bitcoin,2025-07-25 01:09:38,117716.03014421639,2342146291800.3784,52582758485.74413
bitcoin,2025-07-25 02:08:36,117363.91752911333,2335839455456.47,56541395945.80622
bitcoin,2025-07-25 03:09:00,116416.86890278987,2318576969501.581,57567861904.88399
bitcoin,2025-07-25 04:08:16,115457.88305918466,2297737673314.308,66877215468.394585
bitcoin,2025-07-25 05:03:00,115944.69806869619,2306950500759.664,70230336759.81766
bitcoin,2025-07-25 06:01:41,115525.7005924695,2298087000670.4355,70687077385.19344
bitcoin,2025-07-25 07:03:46,115312.95907944742,2294855153598.1206,71986674358.9229
bitcoin,2025-07-25 08:04:57,115183.79069979969,2288483709903.6274,74811948693.77531
bitcoin,2025-07-25 09:04:32,115198.34129708189,2292540454971.5293,75042997368.29431
bitcoin,2025-07-25 10:04:54,115616.05603374194,2300321308718.887,81588473468.41763
bitcoin,2025-07-25 11:06:55,116397.61394292925,2315407299890.278,83146084087.27638
bitcoin,2025-07-25 12:00:45,116570.57727128878,2319343040388.5312,83959862031.6109
bitcoin,2025-07-25 13:02:13,116149.09915795567,2311635758248.1274,85699028351.79373
bitcoin,2025-07-25 14:04:49,116111.25710621053,2309642715383.0474,87131745675.64265
bitcoin,2025-07-25 15:04:55,115190.24790326186,2292180863340.1924,87066913539.39503
bitcoin,2025-07-25 16:09:15,115789.53842114135,2303402995649.1343,88919689476.3266
